,querry_searched,ecommerce_website,product_name,product_price,product_rating,rating_count,poduct_image_url,product_url,reviews_count
4,Infinix hot 10,Flipkart,"Infinix Hot 20 5G (Space Blue, 128 GB)",13499.0,4.1,4191.0,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/f/c/-original-imaghgm2cequqqx4.jpeg?q=70,/infinix-hot-20-5g-space-blue-128-gb/p/itm11fe82212c9ae?pid=MOBGHGHFJMNPZJJR&lid=LSTMOBGHGHFJMNPZJJRDMNFRT&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_29&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBGHGHFJMNPZJJR.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,383
5,Infinix hot 10,Flipkart,"Infinix Hot 20 5G (Blaster Green, 128 GB)",13499.0,4.1,4191.0,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/m/j/-original-imaghgm2xxnswjqg.jpeg?q=70,/infinix-hot-20-5g-blaster-green-128-gb/p/itm11fe82212c9ae?pid=MOBGHGHFSXYFVW3A&lid=LSTMOBGHGHFSXYFVW3ATQBUY1&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_30&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBGHGHFSXYFVW3A.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,383
6,Infinix hot 10,Flipkart,"Infinix Hot 20 5G (Racing Black, 128 GB)",13499.0,4.1,4191.0,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/x/u/0/-original-imaghgmfk2xghtrg.jpeg?q=70,/infinix-hot-20-5g-racing-black-128-gb/p/itm11fe82212c9ae?pid=MOBGHGHFBXMGNVKB&lid=LSTMOBGHGHFBXMGNVKBSBRKGE&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_31&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBGHGHFBXMGNVKB.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,383
47,Infinix hot 10,Flipkart,"Infinix Hot 12 Pro (Halo White, 128 GB)",12999.0,4.0,5170.0,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/1/o/o/-original-imaggt7dduybz4rc.jpeg?q=70,/infinix-hot-12-pro-halo-white-128-gb/p/itma4cb88f2b0117?pid=MOBGGMHWNVDGJ2ZW&lid=LSTMOBGGMHWNVDGJ2ZWXXTEF8&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_72&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBGGMHWNVDGJ2ZW.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,424
54,Infinix hot 10,Flipkart,"Infinix Hot 9 Pro (Quetzal Cyan, 64 GB)",12999.0,4.4,86387.0,https://rukminim1.flixcart.com/image/312/312/kehfi4w0/mobile/g/z/s/infinix-hot-9-pro-x655f-original-imafv5gzjqacmgsd.jpeg?q=70,/infinix-hot-9-pro-quetzal-cyan-64-gb/p/itm1bc9e9eef4559?pid=MOBFV5GQGSVGJGZS&lid=LSTMOBFV5GQGSVGJGZSXRFNGX&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_79&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBFV5GQGSVGJGZS.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"7,343"
18,Infinix hot 10,Flipkart,"Infinix Hot 12 Pro (Racing Black, 128 GB)",12999.0,4.0,5170.0,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/x/d/c/-original-imaggt7dbdqqxs9h.jpeg?q=70,/infinix-hot-12-pro-racing-black-128-gb/p/itma4cb88f2b0117?pid=MOBGGMHWYB9ADCJN&lid=LSTMOBGGMHWYB9ADCJN3FOS3K&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_43&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBGGMHWYB9ADCJN.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,424
17,Infinix hot 10,Flipkart,"Infinix Hot 12 Pro (Electric Blue, 128 GB)",12999.0,4.0,5170.0,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/u/n/j/-original-imaggt7dz7jfx8cs.jpeg?q=70,/infinix-hot-12-pro-electric-blue-128-gb/p/itma4cb88f2b0117?pid=MOBGGMHWDAQ4AHWC&lid=LSTMOBGGMHWDAQ4AHWC0NFAG4&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_42&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBGGMHWDAQ4AHWC.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,424
15,Infinix hot 10,Flipkart,"Infinix Hot 12 Pro (Lightsaber Green, 128 GB)",12999.0,4.0,5170.0,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/5/x/x/-original-imaggt7cx43jqzpj.jpeg?q=70,/infinix-hot-12-pro-lightsaber-green-128-gb/p/itma4cb88f2b0117?pid=MOBGGMHWMGJCTZNM&lid=LSTMOBGGMHWMGJCTZNMCAVERA&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_40&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBGGMHWMGJCTZNM.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,424
58,Infinix hot 10,Flipkart,"Infinix Hot 9 (Ocean Wave, 64 GB)",11999.0,4.4,112250.0,https://rukminim1.flixcart.com/image/312/312/k8g8knk0/mobile/h/b/h/infinix-hot-9-x655d-original-imafqgeuekzgtdty.jpeg?q=70,/infinix-hot-9-ocean-wave-64-gb/p/itm9d816e65b5dc4?pid=MOBFQ3DPNX8HYHBH&lid=LSTMOBFQ3DPNX8HYHBHRFL6NZ&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_83&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBFQ3DPNX8HYHBH.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"7,979"
57,Infinix hot 10,Flipkart,"Infinix Hot 9 (Quetzal Cyan, 64 GB)",11999.0,4.4,112250.0,https://rukminim1.flixcart.com/image/312/312/ke7ff680/mobile/x/g/q/infinix-hot-9-x655d-original-imafuxzbpghez9yu.jpeg?q=70,/infinix-hot-9-quetzal-cyan-64-gb/p/itm9d816e65b5dc4?pid=MOBFUXN5NCFVFXGQ&lid=LSTMOBFUXN5NCFVFXGQGL9G4Z&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_82&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBFUXN5NCFVFXGQ.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"7,979"
